metadata,text
02,
02,
02,
02,
02,
05,
05,
00,"STAFF CREDITS"
05,
02,
02,
02,
02,
02,
02,
02,
00,PRODUCER
05,
05,
02,"Izushi Takehiro"
05,
02,
02,
02,
00,DIRECTOR
05,
05,
02,"Sakamoto Yoshio"
05,
02,
02,
02,
00,"SAMUS DESIGN"
05,
05,
02,"Kiyotake Hiroji"
05,
02,
02,
02,
00,"COURSE DESIGN"
05,
05,
02,"Ueda Masani"
05,
02,"Hosokawa Takehiko"
05,
02,"Nakada Ryuichi"
05,
02,
02,
02,
00,"GRAPHIC DESIGN"
05,
05,
02,"Morisawa Takayasu"
05,
02,"Matsushita Tadashi"
05,
02,"Miyamoto Fumiko"
05,
02,"Sakiyama Chiharu"
05,
02,"Furuta Norikatsu"
05,
02,"Momose Hiroshi"
05,
02,
02,
02,
00,PROGRAMMING
05,
05,
02,"Yamano Katsuya"
05,
02,"Katsuki Yoshinori"
05,
02,"Ozaki Nobuhiro"
05,
02,"Kawase Tomohiro"
05,
02,"Shimizu Hideaki"
05,
02,
02,
02,
00,"MUSIC COMPOSITION"
05,
05,
02,"Yamamoto Kenji"
05,
02,"Hamano Minako"
05,
02,
02,
02,
00,"SOUND EFFECT & PROGRAMMING"
05,
05,
02,"Fujii Takaya"
05,
02,
02,
02,
00,"PACKAGE & MANUAL DESIGN"
05,
05,
02,"Inoue Yasuo"
05,
02,"Nakamichi Sachiko"
05,
02,"Takahashi Yasuko"
05,
02,
02,
02,
00,COORDINATION
05,
05,
02,"Harada Takahiro"
05,
02,
02,
02,
00,DEBUG
05,
05,
02,"SUPER MARIO CLUB"
05,
05,
02,
02,
02,
00,"SPECIAL THANKS"
05,
05,
02,"Fukui Kota"
05,
02,"Nishimura Kentaro"
05,
02,"Nakano Takao"
05,
02,"Osawa Kazuyoshi"
05,
02,"Furuta Takeshi"
05,
02,"Saeki Naoko"
05,
02,"Tanaka Hirokazu"
05,
02,
02,
02,
02,
00,"NORTH AMERICAN LOCALIZATION"
05,
05,
02,"Nate Bihldorff"
05,
02,"Bill Trinen"
05,
02,
02,
02,
00,"LOCALIZATION MANAGEMENT"
05,
05,
02,"Jeff Miller"
05,
02,"Leslie Swan"
05,
02,
02,
02,
00,"NOA PRODUCT TESTING DEPARTMENT"
05,
05,
02,"Yoshinobu Mantani"
05,
02,"Kyle Hudson"
05,
02,"Eric Bush"
05,
02,"Randy Shoemake"
05,
02,"Rich Richardson"
05,
02,"Thomas Hertzog"
05,
02,"Michael Leslie"
05,
02,"Kathy Huguenard"
05,
02,"David Hunziker"
05,
02,"Chris Needham"
05,
02,"Mika Kurosawa"
05,
02,
02,
02,
00,"SPECIAL THANKS"
05,
02,"Mike Fukuda"
05,
02,"Tatsumi Kimishima"
05,
02,
02,
02,
02,
05,
00,"EXECUTIVE PRODUCER"
05,
05,
02,"Iwata Satoru"
00,
05,
02,
02,
02,
02,
02,
02,
02,
02,
0A,
0B,
0C,
0D,
05,
05,
05,
05,
05,
05,
05,
05,
06,
