metadata,text
02,
02,
02,
02,
02,
05,
00,"  W               "
00,"CRWDITOS DA EQUIPE"
05,
02,
02,
02,
02,
02,
02,
02,
00,PRODUTOR
05,
05,
02,"Izushi Takehiro"
05,
02,
02,
02,
00,DIRETOR
05,
05,
02,"Sakamoto Yoshio"
05,
02,
02,
02,
00,"DESENHO DA SAMUS"
05,
05,
02,"Kiyotake Hiroji"
05,
02,
02,
02,
00,"PROJEY,O DOS MAPAS"
05,
05,
02,"Ueda Masani"
05,
02,"Hosokawa Takehiko"
05,
02,"Nakada Ryuichi"
05,
02,
02,
02,
00,"DESENHO GRKFICO"
05,
05,
02,"Morisawa Takayasu"
05,
02,"Matsushita Tadashi"
05,
02,"Miyamoto Fumiko"
05,
02,"Sakiyama Chiharu"
05,
02,"Furuta Norikatsu"
05,
02,"Momose Hiroshi"
05,
02,
02,
02,
00,"PROGRAMAY,O"
05,
05,
02,"Yamano Katsuya"
05,
02,"Katsuki Yoshinori"
05,
02,"Ozaki Nobuhiro"
05,
02,"Kawase Tomohiro"
05,
02,"Shimizu Hideaki"
05,
02,
02,
02,
00,"COMPOSIY,O MUSICAL"
05,
05,
02,"Yamamoto Kenji"
05,
02,"Hamano Minako"
05,
02,
02,
02,
00,"EFEITOS SONOROS & PROGRAMAY,O"
05,
05,
02,"Fujii Takaya"
05,
02,
02,
02,
00,"PACOTES & DESENHO MANUAL"
05,
05,
02,"Inoue Yasuo"
05,
02,"Nakamichi Sachiko"
05,
02,"Takahashi Yasuko"
05,
02,
02,
02,
00,"COORDENAY,O"
05,
05,
02,"Harada Takahiro"
05,
02,
02,
02,
00,"DEPURAY,O"
05,
05,
02,"SUPER MARIO CLUB"
05,
05,
02,
02,
02,
00,"AGRADECIMENTOS ESPECIAIS"
05,
05,
02,"Fukui Kota"
05,
02,"Nishimura Kentaro"
05,
02,"Nakano Takao"
05,
02,"Osawa Kazuyoshi"
05,
02,"Furuta Takeshi"
05,
02,"Saeki Naoko"
05,
02,"Tanaka Hirokazu"
05,
02,
02,
02,
02,
00,"LOCALIZAY,O NORTE AMERICANA"
05,
05,
02,"Nate Bihldorff"
05,
02,"Bill Trinen"
05,
02,
02,
02,
00,"GERENCIAMENTO DE LOCALIZAY,O"
05,
05,
02,"Jeff Miller"
05,
02,"Leslie Swan"
05,
02,
02,
02,
00,"DEPT. DE TESTE DE PRODUTOS NOA"
05,
05,
02,"Yoshinobu Mantani"
05,
02,"Kyle Hudson"
05,
02,"Eric Bush"
05,
02,"Randy Shoemake"
05,
02,"Rich Richardson"
05,
02,"Thomas Hertzog"
05,
02,"Michael Leslie"
05,
02,"Kathy Huguenard"
05,
02,"David Hunziker"
05,
02,"Chris Needham"
05,
02,"Mika Kurosawa"
05,
02,
02,
02,
00,"AGRADECIMENTOS ESPECIAIS"
05,
02,"Mike Fukuda"
05,
02,"Tatsumi Kimishima"
05,
02,
02,
02,
02,
05,
00,"PRODUTOR EXECUTIVO"
05,
05,
02,"Iwata Satoru"
00,
05,
02,
02,
02,
02,
02,
02,
02,
02,
0A,
0B,
0C,
0D,
05,
05,
05,
05,
05,
05,
05,
05,
06,
